Rank,Make,Model,Era/Decade,Year Introduced,Description,Average UK Price (£)
19,Harley-Davidson,V-Rod (VSCRA / VRSCA),2000s,2001,Hydroformed frame housing a 115hp liquid-cooled 60-degree V-twin developed in partnership with Porsche.,"5,500 - 10,500"
20,Buell,XB9R / XB12R Firebolt,2000s,2002,"Packed with innovative engineering: fuel-in-frame, oil-in-swingarm, and rim-mounted perimeter front brake rotor.","3,200 - 6,500"
21,Victory,Vegas,2000s,2003,"Polaris-owned Victory's breakout custom cruiser, designed by Arlen and Cory Ness, offering modern performance overhead cams.","3,800 - 7,200"
22,Harley-Davidson,XR1200,2000s,2008,European-designed Sportster variant tailored specifically for UK/EU roads with upside-down forks and 90hp engine tuning.,"5,000 - 8,500"
23,Buell,XB12S Lightning,2000s,2004,Short-wheelbase naked streetfighter with punchy 1203cc V-twin torque and extreme agility for twisty UK backroads.,"3,500 - 6,800"
24,Victory,Hammer / Hammer S,2000s,2005,"Power cruiser fitted with a massive 250-section rear tire, inverted forks, dual front disc brakes, and Freedom 106 V-twin.","4,500 - 8,500"
25,Harley-Davidson,Nightster (XL1200N),2000s,2007,"Pioneered H-D's factory bobber Dark Custom trend with side-mounted license plate, black rims, and lowered stance.","4,200 - 7,200"
26,Buell,1125R,2000s,2008,Buell's liquid-cooled superbike powered by a 146hp 72-degree V-twin engine built by Rotax.,"3,800 - 6,800"
27,Victory,Vision Tour,2000s,2008,"Radical, futuristic luxury touring motorcycle featuring full aerodynamic bodywork and cast aluminum frame.","5,500 - 9,500"
28,Harley-Davidson,Cross Bones (FLSTSB),2000s,2008,"Dark Custom Softail featuring a blacked-out Springer front end, solo sprung tractor seat, and bobbed fenders.","8,000 - 13,000"
29,Buell,Ulysses XB12X,2000s,2006,"Erik Buell's quirky, characterful take on the adventure-touring segment with long-travel suspension and V-twin grunt.","3,200 - 5,800"
30,Indian,Scout,2010s,2015,Polaris-revived Indian icon featuring a high-revving 1133cc liquid-cooled DOHC V-twin and lightweight cast aluminum frame.,"6,500 - 10,000"
31,Indian,Chief Classic / Chieftain,2010s,2014,Debuted the gorgeous Thunder Stroke 111 air-cooled engine with retro valanced fenders and modern touchscreen electronics.,"9,500 - 16,500"
32,Indian,FTR 1200 / FTR 1200 S,2010s,2019,"Street tracker directly inspired by Indian's dominant FTR750 flat-track racer, delivering 120hp and trellis frame agility.","6,800 - 10,800"
33,Zero,SR / SR/F,2010s,2014,California-based electric pioneer that established a strong UK dealer network with high-torque electric streetfighters.,"6,000 - 11,500"
34,Harley-Davidson,Forty-Eight (XL1200X),2010s,2010,"Bulldog stance with a fat 16-inch front tire, under-bar mirrors, and classic 1948 peanut fuel tank.","5,500 - 8,800"
35,Victory,Octane,2010s,2017,"High-performance muscle cruiser using a 104hp liquid-cooled engine, setting a burnout world record before Victory ceased production.","5,200 - 8,200"
36,Harley-Davidson,Street Glide Special (FLHXS),2010s,2014,The UK's top-selling heavy touring Harley; sleek bagger with Boom! Box infotainment and Milwaukee-Eight engine.,"11,500 - 18,500"
37,Harley-Davidson,Softail Slim (FLS),2010s,2012,"Trimmed-down post-WWII bobber style featuring floorboards, Hollywood handlebars, and narrow rear tire.","7,500 - 12,000"
38,EBR (Erik Buell Racing),1190RX,2010s,2014,Superbike outputting 185hp from an ET-V2 1190cc engine; officially imported to select UK racing specialists.,"8,500 - 14,000"
39,Harley-Davidson,Breakout (FXSB),2010s,2013,"Drag-strip inspired cruiser with a massive 240mm rear tire, wide stance, and raked front forks.","9,500 - 16,000"
40,Zero,DSR,2010s,2016,Dual-sport electric motorcycle providing instant clutchless torque for green-laning and city commuting in Great Britain.,"5,500 - 9,500"
41,Harley-Davidson,Pan America 1250 / Special,2020s,2021,Harley's ground-breaking adventure bike featuring 150hp Revolution Max 1250T engine and Adaptive Ride Height technology.,"10,500 - 15,500"
42,Indian,Challenger / Limited,2020s,2020,Performance bagger equipped with PowerPlus liquid-cooled 122hp V-twin engine and inverted front suspension.,"15,500 - 22,000"
43,Harley-Davidson,LiveWire / LiveWire ONE,2020s,2020,Harley's flagship electric sport-naked delivering 0-60mph in 3.0 seconds with Showa suspension and Brembo brakes.,"12,000 - 18,500"
44,Indian,Scout Rogue,2020s,2022,"Aggressive blacked-out Scout variant fitted with a quarter fairing, 19-inch front wheel, and mini-ape handlebars.","8,500 - 11,500"
45,Harley-Davidson,Sportster S (RH1250S),2020s,2021,"Replaced the air-cooled Sportster line with a 121hp Revolution Max engine, high-exit exhaust, and fat front tire.","9,500 - 13,000"
46,Indian,Pursuit Dark Horse,2020s,2022,"Luxury touring edition featuring liquid-cooled V-twin power, frame-mounted fairing, heated seats, and Fox electronic rear preload.","19,000 - 26,000"
47,Harley-Davidson,Low Rider ST (FXLRST),2020s,2022,"West Coast performance bagger trend setter with Milwaukee-Eight 117 engine, frame fairing, and raised rear suspension.","14,500 - 19,500"
48,Zero,DSR/X,2020s,2023,"Purpose-built electric adventure motorcycle with 225Nm torque, Bosch motorcycle stability control, and belt drive.","12,500 - 17,500"
49,Harley-Davidson,Nightster Special (RH975S),2020s,2023,Revolution Max 975T powered entry-level liquid-cooled roadster with TFT display and retro tank badge styling.,"8,200 - 11,200"
50,LiveWire,S2 Del Mar,2020s,2023,Modular S2 Arrow platform urban electric motorcycle featuring flat-track inspired styling and rapid charging capability.,"13,000 - 16,000"
