Rank,Make,Model,Country,Era/Decade,Year Introduced,Description,Average UK Price (£)
25,Cagiva,Elefant 900,Italy,1980s,1989,Lucky Strike-liveried Dakar Rally icon powered by Ducati's torquey air-cooled 900cc L-twin engine.,"6,500 - 12,000"
26,BMW,K100 'Flying Brick',Germany,1980s,1983,Revolutionary horizontal flat-four engine layout offering unmatched long-distance touring reliability.,"2,500 - 5,500"
27,Bimota,YB4 EI,Italy,1980s,1988,Advanced aluminum twin-spar frame wrapping Yamaha FZ750 engine; won TT F1 World Championship.,"12,000 - 22,000"
28,Ducati,Pantah 500SL,Italy,1980s,1980,"First Ducati with belt-driven overhead camshafts, providing the engineering blueprint for modern Ducati V-twins.","4,500 - 8,500"
29,Norton,Classic (Rotary P43),Britain,1980s,1987,"Air-cooled twin-rotor Wankel engine motorcycle produced in limited numbers, reviving British innovation.","8,000 - 15,000"
30,Moto Guzzi,Le Mans 1000 (Mark IV),Italy,1980s,1984,Updated with a 949cc engine and 16-inch front wheel for sharp cornering in classic long-distance racing style.,"5,000 - 9,500"
31,KTM,500 MX,Austria,1980s,1985,Brutal 2-stroke open-class motocross engine establishing KTM as an off-road racing force.,"3,500 - 7,000"
32,Husqvarna,500 Auto,Sweden,1980s,1982,Unique automatic transmission off-road competition machine developed for military and enduro applications.,"4,000 - 8,000"
33,Gilera,CX 125,Italy,1980s,1989,"Futuristic 125cc two-stroke featuring single-sided front fork, fully enclosed bodywork, and alien-like styling.","3,800 - 7,500"
34,BMW,R100GS,Germany,1980s,1987,Introduced the Paralever rear suspension system to eliminate shaft-drive torque reaction on and off road.,"5,500 - 11,000"
35,Aprilia,AF1 125 Project 108,Italy,1980s,1987,Single-sided swingarm 125cc two-stroke sports bike that launched Aprilia's dominance in lightweight racing.,"3,000 - 6,000"
36,Ducati,916,Italy,1990s,1994,"Massimo Tamburini's masterpiece featuring under-seat exhausts, single-sided swingarm, and timeless proportions.","10,000 - 22,000"
37,Ducati,Monster M900,Italy,1990s,1993,Miguel Galluzzi's minimalist creation that single-handedly saved Ducati and birthed the modern factory naked segment.,"3,800 - 7,500"
38,Triumph,Speed Triple T509 / 955i,Britain,1990s,1997,"Bug-eyed, twin-headlight streetfighter with a howling 3-cylinder engine, featured in Mission: Impossible 2.","3,200 - 6,500"
39,Aprilia,RS250,Italy,1990s,1995,The ultimate 2-stroke road racer equipped with Suzuki RGV250 V-twin motor and GP-derived banana swingarm chassis.,"8,500 - 15,000"
40,MV Agusta,F4 750,Italy,1990s,1999,Another Tamburini design masterpiece with four organ-pipe under-seat exhausts and radial valve Ferrari-co-developed motor.,"8,000 - 16,000"
41,Aprilia,RSV Mille,Italy,1990s,1998,60-degree 998cc Rotax V-twin superbike offering exceptional chassis feedback and pneumatic slipper clutch.,"2,800 - 6,000"
42,Triumph,Daytona T595 / 955i,Britain,1990s,1997,Hinckley Triumph's first modern lightweight superbike rival featuring a tubed aluminum perimeter frame.,"2,500 - 5,000"
43,Cagiva,Mito 125,Italy,1990s,1990,"Baby Ducati 916 styling paired with a high-revving 7-speed two-stroke 125cc engine, launching Valentino Rossi's career.","3,500 - 7,000"
44,BMW,R1100GS,Germany,1990s,1994,"Introduced Telelever front suspension and 4-valve oil-cooled Boxer engine, solidifying GS global dominance.","2,500 - 5,200"
45,Bimota,Tesi 1D,Italy,1990s,1990,Radical hub-center steering front suspension engineering artwork powered by Ducati's 851/888 motor.,"22,000 - 40,000"
46,Norton,F1 (Rotary P52),Britain,1990s,1990,Road-going replica of the JPS-sponsored liquid-cooled rotary race bike that won British Superbike championships.,"18,000 - 32,000"
47,Moto Guzzi,Daytona 1000,Italy,1990s,1992,"Developed alongside Dr. John Wittner, featuring 8-valve Hi-Cam cylinder heads and racing chassis balance.","8,500 - 15,000"
48,Ducati,Supermono,Italy,1990s,1993,Ultra-rare single-cylinder racing masterpiece with dummy connecting rod secondary balance system; only 67 made.,"70,000 - 110,000"
49,BMW,R1100S / BC38,Germany,1990s,1998,"Sporty Boxer twin with under-seat exhaust, Telelever suspension, and BoxerCup race series pedigree.","2,800 - 5,800"
50,KTM,620 Duke,Austria,1990s,1994,"The original factory supermoto motorcycle, fitting 17-inch road wheels to a powerful LC4 dirt bike platform.","2,500 - 5,000"
51,Ducati,996 SPS,Italy,1990s,1999,"Sport Production Special flagship with enlarged engine displacement, Öhlins suspension, and WSBK championship legacy.","12,000 - 22,000"
52,Husaberg,FE501,Sweden,1990s,1992,"Ultra-lightweight 4-stroke enduro motorcycle built by former Husqvarna engineers, pioneering 4-stroke dirt resurgence.","2,800 - 5,500"
53,Aprilia,Pegaso 650,Italy,1990s,1992,Rotax 5-valve single-cylinder dual-sport motorcycle that provided the platform for the BMW F650 Funduro.,"1,500 - 3,200"
54,Triumph,Trophy 1200,Britain,1990s,1991,Heavyweight 4-cylinder long-distance tourer that signaled Hinckley Triumph's triumphant return to commercial scale.,"1,500 - 3,500"
55,BMW,R1200GS (K25),Germany,2000s,2004,Lost 30kg over predecessor and became the undisputed best-selling motorcycle in the UK and Europe for decades.,"3,800 - 7,500"
56,Ducati,Desmosedici RR,Italy,2000s,2008,World's first true MotoGP replica for the street; 200hp V4 engine with gear-driven cams and carbon fiber body.,"45,000 - 70,000"
57,Triumph,Bonneville T100,Britain,2000s,2001,Successfully resurrected the legendary 1959 Bonneville badge in modern air-cooled parallel twin form.,"3,500 - 6,500"
58,Ducati,1098 / 1198,Italy,2000s,2007,Returned to traditional single-sided swingarm twin headlight styling and delivered world-champion V-twin performance.,"6,500 - 12,500"
59,KTM,990 Adventure,Austria,2000s,2006,True Dakar-derived LC8 V-twin adventure motorcycle with unmatched off-road prowess in its class.,"4,200 - 7,800"
60,Triumph,Street Triple 675,Britain,2000s,2007,"Combined Daytona 675 supersport chassis with an intoxicating middleweight triple engine, dominating review tests.","2,800 - 5,200"
61,BMW,S1000RR (Gen 1),Germany,2000s,2009,Shocked the motorcycle world by instantly leapfrogging Japanese inline-fours with 193hp and dynamic traction control.,"5,500 - 9,500"
62,Aprilia,RSV4 Factory,Italy,2000s,2009,"Compact 65-degree V4 superbike with adjustable engine position frame, winning multiple World Superbike titles.","6,800 - 12,000"
63,KTM,990 Super Duke,Austria,2000s,2005,"Aggressive, razor-sharp super naked nicknamed 'The Beast' for its sharp steering and wheelie-happy torque.","3,800 - 6,800"
64,Triumph,Rocket III,Britain,2000s,2004,Massive 2294cc longitudinally mounted inline-three engine producing unmatched torque outputs.,"4,800 - 8,500"
65,MV Agusta,Brutale 750 / 910,Italy,2000s,2001,Naked exotic superbike combining high-revving 4-cylinder engine performance with sculpture-like chassis art.,"4,200 - 8,000"
66,Triumph,Daytona 675,Britain,2000s,2006,Disrupted the 600cc supersport class with a narrow 3-cylinder engine and class-leading chassis agility.,"3,500 - 6,800"
67,Ducati,Multistrada 1200,Italy,2000s,2010,Pioneered four-bikes-in-one concept using selectable riding modes and Testastretta 11° engine power.,"4,500 - 8,500"
68,BMW,HP2 Enduro,Germany,2000s,2005,"Stripped-down, high-performance dirt-focused Boxer twin with air shock suspension and ultra-limited production runs.","12,000 - 20,000"
69,Ducati,Hypermotard 1100,Italy,2000s,2007,Pierre Terblanche design merging air-cooled 2-valve desmo punch with extreme hooligan supermoto ergonomics.,"4,200 - 7,800"
70,Moto Guzzi,Griso 1100 / 1200 8V,Italy,2000s,2005,Custom roadster styling with high-cam 8V engine and twin-spar tubular steel frame layout.,"4,500 - 8,500"
71,Ducati,Panigale 1199 / 1299,Italy,2010s,2012,Ditched traditional trellis frame for monocoque chassis structure and Superquadro engine technology.,"8,500 - 16,000"
72,BMW,R ninet,Germany,2010s,2014,Modular air-cooled Boxer roadster that spearheaded the global modern-custom and café racer movement.,"6,200 - 10,500"
73,KTM,1290 Super Duke R,Austria,2010s,2014,"1301cc LC8 V-twin hyper-naked producing 180hp and 144Nm torque, redefining naked bike acceleration.","7,000 - 12,500"
74,Ducati,Panigale V4 / V4 S,Italy,2010s,2018,"Ducati's first mass-production V4 sportbike, utilizing Desmosedici Stradale counter-rotating crankshaft engine.","14,000 - 24,000"
75,Aprilia,Tuono V4 1100 Factory,Italy,2010s,2015,Superbike handlebar conversion perfection; combining RSV4 chassis/engine with upright comfort and Öhlins semi-active suspension.,"8,000 - 13,500"
76,BMW,R1200GS LC / R1250GS,Germany,2010s,2013,"Introduced 'precision' liquid cooling (2013) and ShiftCam Variable Valve Timing (2019), maintaining adventure dominance.","6,800 - 13,500"
77,Triumph,Thruxton 1200 R / RS,Britain,2010s,2016,"High-power 1200cc parallel twin café racer fitted with Öhlins suspension, Brembo brakes, and timeless lines.","7,500 - 11,500"
78,Ducati,Scrambler 800,Italy,2010s,2015,Post-heritage sub-brand success story providing accessible air-cooled twin joy and lifestyle customization.,"4,200 - 6,800"
79,Husqvarna,701 Supermoto,Sweden,2010s,2016,"74hp single-cylinder street legal supermoto missile known for light weight, cornering grip, and wheelie action.","5,500 - 8,500"
80,KTM,790 / 890 Duke,Austria,2010s,2018,"Nicknamed 'The Scalpel', introducing KTM's LC8c parallel twin engine in a featherweight streetfighter chassis.","5,200 - 8,800"
81,BMW,S1000XR,Germany,2010s,2015,Adventure sports crossover putting a detuned 160hp S1000RR engine into an upright touring frame.,"6,500 - 12,000"
82,Ducati,Diavel 1200 / 1260,Italy,2010s,2011,Performance cruiser combining 240-section rear tire drag styling with genuine superbike lean angles.,"6,500 - 13,000"
83,Triumph,Tiger 800 / 900,Britain,2010s,2011,Smooth 3-cylinder adventure touring series that offered a characterful middleweight alternative to heavy twins.,"4,200 - 9,500"
84,MV Agusta,F3 675 / 800,Italy,2010s,2012,Stunning middleweight sportbike featuring counter-rotating crankshaft and triple side-exit exhaust pipes.,"6,000 - 11,500"
85,Husqvarna,Vitpilen 701,Sweden,2010s,2018,Avant-garde minimalist design study brought directly to production around the high-output 693cc single engine.,"4,800 - 7,200"
86,BMW,K1600GT / GTL,Germany,2010s,2011,Silky-smooth transverse 1649cc inline-six luxury tourer with adaptive headlight technology.,"6,500 - 13,500"
87,Ducati,DesertX,Italy,2020s,2022,1980s Cagiva Elefant homage built on a specialized 21-inch/18-inch wheel off-road chassis with 937cc Testastretta engine.,"10,500 - 13,500"
88,BMW,M1000RR,Germany,2020s,2021,"First BMW motorcycle to wear the storied 'M' badge; featuring carbon wings, titanium internals, and race-ready ECU.","22,000 - 32,000"
89,Triumph,Trident 660,Britain,2020s,2021,Accessible triple-cylinder middleweight naked bike disrupting entry-level category pricing and performance.,"4,800 - 6,500"
90,Aprilia,RS 660,Italy,2020s,2020,Revitalized middleweight sportbike class using a 100hp forward-facing parallel twin derived from the RSV4 front cylinder bank.,"7,200 - 9,500"
91,BMW,R1300GS,Germany,2020s,2023,"Ground-up redesign featuring under-engine gearbox, radar cruise control, dynamic ride height, and 145hp Boxer engine.","15,500 - 21,000"
92,Ducati,Multistrada V4 S / Rally,Italy,2020s,2021,"Replaced Desmo valves with spring valve Granturismo V4 engine (60,000km valve service intervals) and front/rear radar.","15,000 - 23,000"
93,Triumph,Speed Triple 1200 RS / RR,Britain,2020s,2021,"180hp 1160cc triple super-naked delivering track capability in an agile, lightweight 198kg package.","10,500 - 15,500"
94,KTM,890 Adventure R,Austria,2020s,2021,Benchmark middleweight hardcore adventure machine with low-slung fuel tanks and WP XACT suspension.,"8,500 - 11,800"
95,Aprilia,Tuareg 660,Italy,2020s,2022,Lightweight rally-focused middleweight adventure bike competing directly with the Yamaha Ténéré 700.,"7,800 - 10,200"
96,Moto Guzzi,V100 Mandello,Italy,2020s,2022,Pioneered adaptive aerodynamics with motorized tank deflectors and liquid-cooled 'compact block' transversal V-twin.,"9,500 - 13,500"
97,Husqvarna,Norden 901,Sweden,2020s,2022,Stylish travel adventure tourer pairing retro round headlights with KTM 890 mechanical underpinnings.,"8,800 - 11,500"
98,BMW,R18,Germany,2020s,2020,BMW's heritage cruiser entry equipped with the largest displacement Boxer engine ever built (1802cc air/oil cooled).,"9,500 - 16,000"
99,Royal Enfield,Interceptor 650,Britain / India,2020s,2018,Designed at Royal Enfield's UK technology center; democratized classic retro parallel-twin motorcycling worldwide.,"3,800 - 5,500"
100,Ducati,Hypermotard 698 Mono,Italy,2020s,2024,Powered by the Superquadro Mono engine—the world's most powerful road-going single-cylinder engine (77.5 hp).,"9,800 - 11,500"
